"logLambda","mse","lambdaMin","lambdaOSE"
1.37484749127449,0.0441855803530297,-6.34695302260453,-5.50964935242488
1.28181375014342,0.0441560242195918,-6.34695302260453,-5.50964935242488
1.18878000901235,0.0441503563468869,-6.34695302260453,-5.50964935242488
1.09574626788127,0.0441465113774141,-6.34695302260453,-5.50964935242488
1.0027125267502,0.0441423063331494,-6.34695302260453,-5.50964935242488
0.909678785619129,0.0441377090058474,-6.34695302260453,-5.50964935242488
0.816645044488056,0.0441326845981778,-6.34695302260453,-5.50964935242488
0.723611303356984,0.0441271955734635,-6.34695302260453,-5.50964935242488
0.630577562225911,0.0441212015066172,-6.34695302260453,-5.50964935242488
0.537543821094839,0.0441146589401607,-6.34695302260453,-5.50964935242488
0.444510079963766,0.0441075212485823,-6.34695302260453,-5.50964935242488
0.351476338832694,0.0440997385148496,-6.34695302260453,-5.50964935242488
0.258442597701621,0.044091257423486,-6.34695302260453,-5.50964935242488
0.165408856570548,0.0440820211752265,-6.34695302260453,-5.50964935242488
0.0723751154394758,0.0440719694288748,-6.34695302260453,-5.50964935242488
-0.0206586256915966,0.0440610382765559,-6.34695302260453,-5.50964935242488
-0.113692366822669,0.0440491602590721,-6.34695302260453,-5.50964935242488
-0.206726107953742,0.0440362644284698,-6.34695302260453,-5.50964935242488
-0.299759849084814,0.0440222764651841,-6.34695302260453,-5.50964935242488
-0.392793590215887,0.0440071188571663,-6.34695302260453,-5.50964935242488
-0.485827331346959,0.0439907111481842,-6.34695302260453,-5.50964935242488
-0.578861072478032,0.0439729702619462,-6.34695302260453,-5.50964935242488
-0.671894813609105,0.0439538109077818,-6.34695302260453,-5.50964935242488
-0.764928554740177,0.0439331460722826,-6.34695302260453,-5.50964935242488
-0.85796229587125,0.0439108875995351,-6.34695302260453,-5.50964935242488
-0.950996037002322,0.0438869468603585,-6.34695302260453,-5.50964935242488
-1.04402977813339,0.0438612352968387,-6.34695302260453,-5.50964935242488
-1.13706351926447,0.043833665043908,-6.34695302260453,-5.50964935242488
-1.23009726039554,0.0438041448428102,-6.34695302260453,-5.50964935242488
-1.32313100152661,0.0437726056681923,-6.34695302260453,-5.50964935242488
-1.41616474265768,0.043738963502695,-6.34695302260453,-5.50964935242488
-1.50919848378876,0.0437031449461879,-6.34695302260453,-5.50964935242488
-1.60223222491983,0.0436650831379918,-6.34695302260453,-5.50964935242488
-1.6952659660509,0.0436247184165727,-6.34695302260453,-5.50964935242488
-1.78829970718198,0.0435819993274012,-6.34695302260453,-5.50964935242488
-1.88133344831305,0.0435368835698026,-6.34695302260453,-5.50964935242488
-1.97436718944412,0.0434893388603665,-6.34695302260453,-5.50964935242488
-2.06740093057519,0.0434393436923447,-6.34695302260453,-5.50964935242488
-2.16043467170626,0.043386887973087,-6.34695302260453,-5.50964935242488
-2.25346841283734,0.0433319735247737,-6.34695302260453,-5.50964935242488
-2.34650215396841,0.0432746144372562,-6.34695302260453,-5.50964935242488
-2.43953589509948,0.0432148372655302,-6.34695302260453,-5.50964935242488
-2.53256963623055,0.0431526810681004,-6.34695302260453,-5.50964935242488
-2.62560337736163,0.0430881972862013,-6.34695302260453,-5.50964935242488
-2.7186371184927,0.0430214494675906,-6.34695302260453,-5.50964935242488
-2.81167085962377,0.0429525128425798,-6.34695302260453,-5.50964935242488
-2.90470460075485,0.04288147376434,-6.34695302260453,-5.50964935242488
-2.99773834188592,0.0428084290305161,-6.34695302260453,-5.50964935242488
-3.09077208301699,0.0427334851089178,-6.34695302260453,-5.50964935242488
-3.18380582414806,0.042656757296469,-6.34695302260453,-5.50964935242488
-3.27683956527914,0.0425783701007259,-6.34695302260453,-5.50964935242488
-3.36987330641021,0.0424984478111377,-6.34695302260453,-5.50964935242488
-3.46290704754128,0.0424171522437356,-6.34695302260453,-5.50964935242488
-3.55594078867235,0.0423346164776111,-6.34695302260453,-5.50964935242488
-3.64897452980343,0.0422509705029242,-6.34695302260453,-5.50964935242488
-3.7420082709345,0.0421663816828781,-6.34695302260453,-5.50964935242488
-3.83504201206557,0.0420809817328073,-6.34695302260453,-5.50964935242488
-3.92807575319664,0.0419949474272779,-6.34695302260453,-5.50964935242488
-4.02110949432772,0.0419084452100975,-6.34695302260453,-5.50964935242488
-4.11414323545879,0.0418216478782415,-6.34695302260453,-5.50964935242488
-4.20717697658986,0.041734735765868,-6.34695302260453,-5.50964935242488
-4.30021071772093,0.0416478982001466,-6.34695302260453,-5.50964935242488
-4.39324445885201,0.0415613351543922,-6.34695302260453,-5.50964935242488
-4.48627819998308,0.0414752590227723,-6.34695302260453,-5.50964935242488
-4.57931194111415,0.0413898964301178,-6.34695302260453,-5.50964935242488
-4.67234568224522,0.0413054899835428,-6.34695302260453,-5.50964935242488
-4.7653794233763,0.041222299870131,-6.34695302260453,-5.50964935242488
-4.85841316450737,0.0411406052069245,-6.34695302260453,-5.50964935242488
-4.95144690563844,0.0410607050560328,-6.34695302260453,-5.50964935242488
-5.04448064676951,0.040982919028892,-6.34695302260453,-5.50964935242488
-5.13751438790059,0.040907587419099,-6.34695302260453,-5.50964935242488
-5.23054812903166,0.0408350708216138,-6.34695302260453,-5.50964935242488
-5.32358187016273,0.04076574921559,-6.34695302260453,-5.50964935242488
-5.4166156112938,0.0407000205066076,-6.34695302260453,-5.50964935242488
-5.50964935242488,0.040638298539972,-6.34695302260453,-5.50964935242488
-5.60268309355595,0.0405810106091899,-6.34695302260453,-5.50964935242488
-5.69571683468702,0.0405285944928705,-6.34695302260453,-5.50964935242488
-5.78875057581809,0.0404814950599553,-6.34695302260453,-5.50964935242488
-5.88178431694917,0.0404401604884886,-6.34695302260453,-5.50964935242488
-5.97481805808024,0.040405038148058,-6.34695302260453,-5.50964935242488
-6.06785179921131,0.0403765702010507,-6.34695302260453,-5.50964935242488
-6.16088554034238,0.040355188982911,-6.34695302260453,-5.50964935242488
-6.25391928147346,0.0403415035852908,-6.34695302260453,-5.50964935242488
-6.34695302260453,0.0403354409107297,-6.34695302260453,-5.50964935242488
-6.4399867637356,0.0403378466596849,-6.34695302260453,-5.50964935242488
-6.53302050486667,0.0403486218763361,-6.34695302260453,-5.50964935242488
-6.62605424599775,0.040368515254756,-6.34695302260453,-5.50964935242488
-6.71908798712882,0.0403977213500363,-6.34695302260453,-5.50964935242488
-6.81212172825989,0.0404370169967708,-6.34695302260453,-5.50964935242488
-6.90515546939096,0.0404853818810554,-6.34695302260453,-5.50964935242488
-6.99818921052204,0.0405435227943816,-6.34695302260453,-5.50964935242488
-7.09122295165311,0.0406115364057957,-6.34695302260453,-5.50964935242488
-7.18425669278418,0.0406894481854081,-6.34695302260453,-5.50964935242488
-7.27729043391525,0.0407773825067118,-6.34695302260453,-5.50964935242488
-7.37032417504633,0.0408749919901436,-6.34695302260453,-5.50964935242488
-7.4633579161774,0.0409822735756664,-6.34695302260453,-5.50964935242488
-7.55639165730847,0.0410990358654708,-6.34695302260453,-5.50964935242488
-7.64942539843954,0.0412250475174537,-6.34695302260453,-5.50964935242488
-7.74245913957062,0.0413600355977745,-6.34695302260453,-5.50964935242488
-7.83549288070169,0.0414778680652161,-6.34695302260453,-5.50964935242488
